title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Towards autonomic and situation-aware communication services: the cascadas vision,"A Manzalini, F Zambonelli - IEEE Workshop on Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1633473/,https://ieeexplore.ieee.org/iel5/10880/34247/01633473.pdf,,,1,66,No DOI available
Dynamic service composition in ambient intelligence environments: a multi-agent approach,"M Vallée, F Ramparany… - Proceeding of the First …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,,,1,40,No DOI available
A context-aware middleware for applications in mobile ad hoc environments,"CF Sørensen, M Wu, T Sivaharan, GS Blair… - Proceedings of the 2nd …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1028510,http://www.academia.edu/download/45819472/MPAC-Sorensen.pdf,,,1,118,No DOI available
Rudder: A rule-based multi-agent infrastructure for supporting autonomic grid applications,"Z Li, M Parashar - International Conference on Autonomic …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1301378/,https://ieeexplore.ieee.org/iel5/9121/28917/01301378.pdf,,,1,37,No DOI available
Decentralised metacognition in context-aware autonomic systems: some key challenges,"C Kennedy - Workshops at the Twenty-Fourth AAAI Conference on …, 2010 - aaai.org",2010,https://www.aaai.org/ocs/index.php/WS/AAAIW10/paper/viewPaper/1994,https://www.aaai.org/ocs/index.php/WS/AAAIW10/paper/download/1994/2453,,,1,20,No DOI available
Querying and updating a context-aware service directory in mobile environments,"C Doulkeridis, M Vazirgiannis - Proceedings of the 2004 IEEE/WIC/ACM …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1026383,https://ieeexplore.ieee.org/iel5/9689/30573/01410867.pdf,,,1,38,No DOI available
A hybrid recommender system for context-aware recommendations of mobile applications,"W Woerndl, C Schueller… - 2007 IEEE 23rd …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4401078/,https://ieeexplore.ieee.org/iel5/4400942/4400943/04401078.pdf,,,1,160,No DOI available
Ubiroad: Semantic middleware for context-aware smart road environments,"V Terziyan, O Kaykova… - 2010 Fifth International …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5476731/,https://ieeexplore.ieee.org/iel5/5476375/5476480/05476731.pdf,,,1,60,No DOI available
A multi-agent system for dynamic service composition in ambient intelligence environments,"M Vallée, F Ramparany, L Vercouter - 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.137.5734&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.137.5734&rep=rep1&type=pdf,,,1,56,No DOI available
Automate: Enabling autonomic applications on the grid,"M Agarwal, V Bhat, H Liu, V Matossian… - 2003 Autonomic …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1210204/,https://nsfcac.rutgers.edu/TASSL/Papers/automate-ams-03.pdf,,,1,134,No DOI available
The decentralised coordination of self-adaptive components for autonomic distributed systems,J Dowling - 2005 - Citeseer,2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.391.1381&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.391.1381&rep=rep1&type=pdf,,,1,59,No DOI available
Multi-agent based flexible deployment of context management in ambient intelligence applications,"A Sorici, G Picard, O Boissier, A Florea - International Conference on …, 2015 - Springer",2015,https://link.springer.com/chapter/10.1007/978-3-319-18944-4_19,https://www.researchgate.net/profile/Alexandru_Sorici/publication/281985223_Multi-Agent_based_Context_Provisioning_Deployment_in_AmI_Applications/links/579f5f8e08ae80bf6ea7b3c9.pdf,,,1,9,No DOI available
A decentralized self-organizing service composition for autonomic entities,"I Al-Oqily, A Karmouch - … on Autonomous and Adaptive Systems (TAAS), 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=1921648,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:eYGV3upSv0AJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=4943963958539395245&oi=lle",,,1,17,No DOI available
Self-management of context-aware overlay ambient networks,"B Mathieu, M Song, A Galis, L Cheng… - 2007 10th IFIP/IEEE …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4258595/,https://ieeexplore.ieee.org/iel5/4258513/4258514/04258595.pdf,,,1,28,No DOI available
A peer-to-peer-based multi-agent framework for decentralized grid workflow management in collaborative design,"JW Yin, WY Zhang, Y Li, HW Chen - The International Journal of …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s00170-008-1482-9,https://link.springer.com/content/pdf/10.1007/s00170-008-1482-9.pdf,,,1,29,No DOI available
Adaptable service composition for very-large-scale internet of things systems,"K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2093192,https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf,,,1,41,No DOI available
A context-aware trust-based security system for ad hoc networks,"M Moloney, S Weber - … of the 1st International Conference on …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1588309/,No PDF available,,,1,33,No DOI available
Towards a Service Platform for Mobile Context-Aware Applications.,"PD Costa, LF Pires, M Van Sinderen, J Pereira Filho - IWUC, 2004 - researchgate.net",2004,https://www.researchgate.net/profile/Jose_Pereira_Filho2/publication/221353865_Towards_a_Service_Platform_for_Mobile_Context-Aware_Applications/links/54e256be0cf296663796751b.pdf,https://www.researchgate.net/profile/Jose_Pereira_Filho2/publication/221353865_Towards_a_Service_Platform_for_Mobile_Context-Aware_Applications/links/54e256be0cf296663796751b.pdf,,,1,44,No DOI available
