title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Self-adaptation using multiagent systems,"D Weyns, M Georgeff - IEEE software, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5370765/,https://ieeexplore.ieee.org/iel5/52/5370751/05370765.pdf,,,1,66,No DOI available
A systematic literature review of service choreography adaptation,"LAF Leite, GA Oliva, GM Nogueira, MA Gerosa… - Service Oriented …, 2013 - Springer",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,https://link.springer.com/article/10.1007/s11761-012-0125-z,,,1,45,No DOI available
Executable Choreography Processes with Aspect-Sensitive Services,"T Cottenier, T Elrad - Computer Science Department, Illinois …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,,,1,8,No DOI available
Lightweight service oriented architecture for pervasive computing,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - arXiv preprint arXiv …, 2011 - arxiv.org",2011,https://arxiv.org/abs/1102.5193,https://arxiv.org/pdf/1102.5193,,,1,45,No DOI available
Supporting context-aware mobile service adaptation with scalable context discovery platform,"D Zhang, CY Chin, M Gurusamy - 2005 IEEE 61st Vehicular …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1543869/,https://ieeexplore.ieee.org/iel5/10360/32962/01543869.pdf,,,1,17,No DOI available
Ubiroad: Semantic middleware for context-aware smart road environments,"V Terziyan, O Kaykova… - … and Services, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5476731/,https://ieeexplore.ieee.org/iel5/5476375/5476480/05476731.pdf,,,1,60,No DOI available
WComp middleware for ubiquitous computing: Aspects and composite event-based Web services,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - annals of …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s12243-008-0081-y,https://link.springer.com/article/10.1007/s12243-008-0081-y,,,1,96,No DOI available
Flexible composition of smart device services,"M Vallée, F Ramparany, L Vercouter - PSC, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/Fano_Ramparany/publication/221228316_Flexible_Composition_of_Smart_Device_Services/links/02bfe5146db682580f000000/Flexible-Composition-of-Smart-Device-Services.pdf,https://www.researchgate.net/profile/Fano_Ramparany/publication/221228316_Flexible_Composition_of_Smart_Device_Services/links/02bfe5146db682580f000000/Flexible-Composition-of-Smart-Device-Services.pdf,,,1,70,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
Context-aware systems: A literature review and classification,"J Hong, E Suh, SJ Kim - Expert Systems with applications, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0957417408007574,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.164.3897&rep=rep1&type=pdf,,,1,633,No DOI available
Context-aware authorization in highly dynamic environments,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - arXiv preprint arXiv …, 2011 - arxiv.org",2011,https://arxiv.org/abs/1102.5194,https://arxiv.org/pdf/1102.5194,,,1,25,No DOI available
Self-aware cyber-physical systems and applications in smart buildings and cities,"L Gurgen, O Gunalp, Y Benazzouz… - … Design, Automation & …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6513686/,https://ieeexplore.ieee.org/iel7/6507370/6513446/06513686.pdf,,,1,70,No DOI available
Data-centric middleware for context-aware pervasive computing,"G Chen, M Li, D Kotz - Pervasive and mobile computing, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S1574119207000636,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.367.6194&rep=rep1&type=pdf,,,1,132,No DOI available
Context-sensitive middleware for real-time software in ubiquitous computing environments,"SS Yau, F Karim - … Symposium on Object-Oriented Real-Time …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/922833/,https://ieeexplore.ieee.org/iel5/7351/19938/00922833.pdf,,,1,89,No DOI available
Challenges of General Adaptation Framework for Industrial Semantic Web,"O Kaykova, O Khriyenko, D Kovtun, A Naumenko… - Semantic Web-Based …, 2007 - cs.jyu.fi",2007,http://www.cs.jyu.fi/ai/ATSWS-2005.doc,http://www.cs.jyu.fi/ai/ATSWS-2005.doc,,,1,7,No DOI available
