title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Situation-aware access control for service-oriented autonomous decentralized systems,"SS Yau, Y Yao, V Banga - … Autonomous Decentralized Systems …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1452011/,https://ieeexplore.ieee.org/iel5/9846/31027/01452011.pdf,,,1,24,No DOI available
Development of situation-aware application software for ubiquitous computing environments,"SS Yau, Y Wang, F Karim - Proceedings 26th Annual …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1044557/,https://ieeexplore.ieee.org/iel5/8094/22390/01044557.pdf,,,1,126,No DOI available
Context-aware business application service co-ordination in mobile computing environments,"H Helin, M Klusch, A Lopes, A Fernández… - AAMAS05 workshop on …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.9581&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.9581&rep=rep1&type=pdf,,,1,18,No DOI available
Supporting context-aware mobile service adaptation with scalable context discovery platform,"D Zhang, CY Chin, M Gurusamy - 2005 IEEE 61st Vehicular …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1543869/,https://ieeexplore.ieee.org/iel5/10360/32962/01543869.pdf,,,1,17,No DOI available
SAT: situation-aware trust architecture for vehicular networks,"X Hong, D Huang, M Gerla, Z Cao - … of the 3rd international workshop on …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1403015,http://cs.ua.edu/~hxy/papers/mobiarch9837-hong.pdf,,,1,40,No DOI available
Adaptable situation-aware secure service-based (AS/sup 3/) systems,"SS Yau, H Davulcu, S Mukhopadhyay… - … on Object-Oriented …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1420985/,https://ieeexplore.ieee.org/iel5/9726/30704/01420985.pdf,,,1,22,No DOI available
Development of Situation-Aware Applications in Services and Cloud Computing Environments.,"SS Yau, D Huang - Int. J. Software and Informatics, 2013 - ijsi.cnjournals.com",2013,http://ijsi.cnjournals.com/ch/reader/create_pdf.aspx?file_no=i147&year_id=2013&quarter_id=1&falg=1,http://ijsi.cnjournals.com/ch/reader/create_pdf.aspx?file_no=i147&year_id=2013&quarter_id=1&falg=1,,,1,13,No DOI available
A situation-aware access control based privacy-preserving service matchmaking approach for service-oriented architecture,"SS Yau, J Liu - IEEE International Conference on Web Services …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4279706/,https://ieeexplore.ieee.org/iel5/4279552/4279553/04279706.pdf,,,1,16,No DOI available
Functionality-based service matchmaking for service-oriented architecture,"SS Yau, J Liu - … Symposium on Autonomous Decentralized …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4144665/,https://ieeexplore.ieee.org/iel5/4144637/4144638/04144665.pdf,,,1,16,No DOI available
OWL-SF–a distributed semantic service framework,"B Mrohs, M Luther, R Vaidya… - Proc. of the …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/44a7/46a960fd6d2ad21dd7cbc1784dd79884828a.pdf#page=77,https://pdfs.semanticscholar.org/44a7/46a960fd6d2ad21dd7cbc1784dd79884828a.pdf#page=77,,,1,32,No DOI available
