title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Enabling emergent behavior in systems-of-systems through bigraph-based modeling,"D Wachholder, C Stary - 2015 10th System of Systems …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/7151954/,https://ieeexplore.ieee.org/iel7/7131933/7151900/07151954.pdf,,,1,20,No DOI available
Executable Choreography Processes with Aspect-Sensitive Services,"T Cottenier, T Elrad - Computer Science Department, Illinois …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,,,1,8,No DOI available
Ubiroad: Semantic middleware for context-aware smart road environments,"V Terziyan, O Kaykova… - 2010 Fifth International …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5476731/,https://ieeexplore.ieee.org/iel5/5476375/5476480/05476731.pdf,,,1,60,No DOI available
Context-sensitive middleware for real-time software in ubiquitous computing environments,"SS Yau, F Karim - … Symposium on Object-Oriented Real-Time …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/922833/,https://ieeexplore.ieee.org/iel5/7351/19938/00922833.pdf,,,1,89,No DOI available
Context-sensitive diagnosis of discrete-event systems,"G Lamperti, M Zanella - Twenty-Second International Joint Conference on …, 2011 - aaai.org",2011,https://www.aaai.org/ocs/index.php/IJCAI/IJCAI11/paper/viewPaper/3037,https://www.aaai.org/ocs/index.php/IJCAI/IJCAI11/paper/viewPDFInterstitial/3037/3529,,,1,17,No DOI available
A requirements-driven approach towards decentralized social networks,"S Thiel, M Bourimi, R Giménez, S Scerri… - … Application, and Service, 2012 - Springer",2012,https://link.springer.com/chapter/10.1007/978-94-007-4516-2_75,No PDF available,,,1,16,No DOI available
The influence of organizational structure on organizational learning,"I María Martínez-León… - International Journal of …, 2011 - emeraldinsight.com",2011,https://www.emeraldinsight.com/doi/full/10.1108/01437721111158198,http://www.academia.edu/download/33047770/THE_INFLUENCE_OF_ORGANIZATIONAL_STRUCTURE_ON_ORGANIZATIONAL_LEARNING.doc.pdf,,,1,126,No DOI available
"Analogy is like cognition: Dynamic, emergent, and context-sensitive","B Kokinov - Advances in analogy research: Integration of theory …, 1998 - apps.dtic.mil",1998,https://apps.dtic.mil/dtic/tr/fulltext/u2/a353781.pdf#page=96,https://apps.dtic.mil/dtic/tr/fulltext/u2/a353781.pdf#page=96,,,1,60,No DOI available
Reconfigurable context-sensitive middleware for ADS applications in mobile ad hoc network environments,"SS Yau, F Karim - … Symposium on Autonomous Decentralized …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/917435/,https://ieeexplore.ieee.org/iel5/7329/19807/00917435.pdf,,,1,33,No DOI available
