title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
"Decentralization, corruption and government accountability","P Bardhan, D Mookherjee - International handbook on the …, 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=P60nmWlJWEoC&oi=fnd&pg=PA161&dq=context-specific+AND+decentralized+composition&ots=ja9etKVYBb&sig=qstryTL6TxK1u1WcHOQ0EN42tD0,http://www.untag-smd.ac.id/files/Perpustakaan_Digital_1/CORRUPTION%20International%20handbook%20on%20the%20economics%20of%20corruption.pdf#page=200,,,1,303,No DOI available
Corruption and decentralization of infrastructure delivery in developing countries,"PK Bardhan, D Mookherjee - 2000 - siteresources.worldbank.org",2000,http://siteresources.worldbank.org/DEC/Resources/84797-1251813753820/6415739-1251814020192/bardhan1.pdf,http://siteresources.worldbank.org/DEC/Resources/84797-1251813753820/6415739-1251814020192/bardhan1.pdf,,,1,213,No DOI available
Operation-level composition: A case in (join) point,"HL Ossher, PL Tarr - European Conference on Object-Oriented …, 1998 - Springer",1998,https://link.springer.com/chapter/10.1007/3-540-49255-0_121,https://www2.ccs.neu.edu/research/demeter/SOP/Tarr.pdf,,,1,45,No DOI available
Decentralization reforms,"K Kaiser - … sector downsizing, taxation, decentralization …, 2006 - siteresources.worldbank.org",2006,http://siteresources.worldbank.org/INTPSIA/Resources/490023-1120845825946/3622-06_Ch06.pdf,http://siteresources.worldbank.org/INTPSIA/Resources/490023-1120845825946/3622-06_Ch06.pdf,,,1,46,No DOI available
Method and apparatus for context-specific content delivery,"C Marsh - US Patent 9,286,388, 2016 - Google Patents",2016,https://patents.google.com/patent/US9286388B2/en,No PDF available,,,1,619,No DOI available
A common framework for decentralized EU agencies and the Meroni doctrine,"JP Schneider - Admin. L. Rev., 2009 - HeinOnline",2009,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/admin61&section=39,No PDF available,,,1,17,No DOI available
"Accountability and coordination in a decentralized context: institutional, fiscal and governance issues","DR Mullins - Washington, DC: American University, 2003 - researchgate.net",2003,https://www.researchgate.net/profile/Daniel_Mullins/publication/239930920_Accountability_and_Coordination_in_a_Decentralized_Context_Institutional_Fiscal_and_Governance_Issues/links/5496f6760cf20f487d3163ed.pdf,https://www.researchgate.net/profile/Daniel_Mullins/publication/239930920_Accountability_and_Coordination_in_a_Decentralized_Context_Institutional_Fiscal_and_Governance_Issues/links/5496f6760cf20f487d3163ed.pdf,,,1,27,No DOI available
Do decentralized innovation systems promote agricultural technology adoption? Experimental evidence from Africa,"H Pamuk, E Bulte, AA Adekunle - Food Policy, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S0306919213001437,No PDF available,,,1,87,No DOI available
Unpacking the “urban” in urban teacher education: Making a case for context-specific preparation,"KK Matsko, K Hammerness - Journal of teacher education, 2014 - journals.sagepub.com",2014,https://journals.sagepub.com/doi/abs/10.1177/0022487113511645,https://journals.sagepub.com/doi/pdf/10.1177/0022487113511645,,,1,106,No DOI available
Decentralization in Africa,"G Brosio - International Monetary Fund. Washington, DC …, 2000 - Citeseer",2000,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.365.3083&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.365.3083&rep=rep1&type=pdf,,,1,130,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
"A two-level analysis of classroom climate in relation to social context, group composition, and organization of special support","MW Allodi - Learning Environments Research, 2002 - Springer",2002,https://link.springer.com/article/10.1023/A:1021972206111,https://link.springer.com/content/pdf/10.1023/A:1021972206111.pdf,,,1,107,No DOI available
Corruption and decentralized public governance,A Shah - 2006 - elibrary.worldbank.org,2006,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-3824,https://openknowledge.worldbank.org/bitstream/handle/10986/8805/wps3824.pdf?sequence=1,,,1,211,No DOI available
Constructing cross-context scholarly conversations,"DA Whetten - The management of enterprises in the People's …, 2002 - Springer",2002,https://link.springer.com/chapter/10.1007/978-1-4615-1095-6_2,No PDF available,,,1,49,No DOI available
Situative governance and energy transitions in a spatial context: case studies from Germany,"G Fuchs, N Hinderer - Energy …, 2014 - energsustainsoc.biomedcentral.com",2014,https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-014-0016-6,https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-014-0016-6,,,1,41,No DOI available
Decentralized multi-agent navigation planning with braids,"CI Mavrogiannis, RA Knepper - Proceedings of the 2016 …, 2016 - rpal.cs.cornell.edu",2016,https://rpal.cs.cornell.edu/docs/MavKne_WAFR_2016.pdf,https://rpal.cs.cornell.edu/docs/MavKne_WAFR_2016.pdf,,,1,11,No DOI available
An ontology-based dynamic service composition framework for intelligent houses,"M Popovici, M Muraru, A Agache… - … Decentralized …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/5741297/,https://ieeexplore.ieee.org/iel5/5740651/5741280/05741297.pdf,,,1,9,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
Adaptive compositions across organizational boundaries,"T Cottenier, T Elrad - Companion to the 20th annual ACM SIGPLAN …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1094950,No PDF available,,,1,1,No DOI available
"Land Reform, Decentralized Governance, and Rural Development in West Bengal","P Bardhan, D Mookherjee - … on Challenges of Economic Policy Reform …, 2006 - ase.tufts.edu",2006,http://ase.tufts.edu/economics/papers/mookherjee.pdf,http://ase.tufts.edu/economics/papers/mookherjee.pdf,,,1,25,No DOI available
Capture and governance at local and national levels,"PK Bardhan, D Mookherjee - American economic review, 2000 - pubs.aeaweb.org",2000,https://pubs.aeaweb.org/doi/pdf/10.1257/aer.90.2.135,https://pdfs.semanticscholar.org/832d/ba269491fa01d05eb1b059b289909ba3289c.pdf,,,1,1130,No DOI available
An efficient context-specific pure overlay space for context dissemination in ambient networks,"D Balakrishnan, A Nayak - 2008 11th IEEE International …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4578212/,https://ieeexplore.ieee.org/iel5/4578197/4578198/04578212.pdf,,,1,7,No DOI available
Decentralization and local service provision: what do we know?,"E Ahmad, G Brosio - 2009 - eprints.lse.ac.uk",2009,http://eprints.lse.ac.uk/38347/1/ARCWP27-AhmadBrosio.pdf,http://eprints.lse.ac.uk/38347/1/ARCWP27-AhmadBrosio.pdf,,,1,7,No DOI available
An analytical framework for assessing decentralized local governance and the local public sector,"J Boex, S Yilmaz - Urban Institute Centre on International Development …, 2010 - urban.org",2010,https://www.urban.org/sites/default/files/publication/29451/412279-An-Analytical-Framework-for-Assessing-Decentralized-Local-Governance-and-the-Local-Public-Sector.PDF,https://www.urban.org/sites/default/files/publication/29451/412279-An-Analytical-Framework-for-Assessing-Decentralized-Local-Governance-and-the-Local-Public-Sector.PDF,,,1,32,No DOI available
What do we know? Evidence on decentralization and local service provision,"E Ahmad, G Brosio - … decentralization enhance service delivery …, 2009 - books.google.com",2009,https://books.google.de/books?hl=de&lr=&id=5-rzoA4qP1wC&oi=fnd&pg=PA125&dq=context-specific+AND+decentralized+composition&ots=TSWPhfXvg1&sig=wB4xrIz_HPmYS4y3pY_XgM8HPiY,No PDF available,,,1,9,No DOI available
Decentralization of management responsibility: the case of Danish hospitals,"LD Pedersen, T Pallesen… - The International journal …, 1993 - Wiley Online Library",1993,https://onlinelibrary.wiley.com/doi/abs/10.1002/hpm.4740080405,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:a28GuBwsCmkJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=5283745996253050035&oi=lle",,,1,15,No DOI available
"Decentralizing urban disaster risk management in a centralized system? Agendas, actors and contentions in Vietnam","M Garschagen - Habitat International, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S0197397515300436,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:zbwPi1BksN4J:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=5514555553763850340&oi=lle",,,1,15,No DOI available
An analytical agenda for the study of decentralized resource regimes,"KP Andersson, E Ostrom - 2007 - vtechworks.lib.vt.edu",2007,https://vtechworks.lib.vt.edu/handle/10919/67679,https://vtechworks.lib.vt.edu/bitstream/handle/10919/67679/2960_107DecentralRegimes.pdf?sequence=1,,,1,15,No DOI available
Decentralized irrigation in China: An institutional analysis,"Q Zhou - Policy and Society, 2013 - Taylor & Francis",2013,https://www.tandfonline.com/doi/abs/10.1016/j.polsoc.2013.02.003,https://www.tandfonline.com/doi/full/10.1016/j.polsoc.2013.02.003,,,1,9,No DOI available
Challenges of curriculum reform in the context of decentralization: the response of teachers to a competence-based curriculum (CBC) and its implementation in …,E Utomo - 2005 - d-scholarship.pitt.edu,2005,http://d-scholarship.pitt.edu/10185/,http://d-scholarship.pitt.edu/10185/1/Utomo.pdf,,,1,21,No DOI available
"Power struggle, dispute and alliance over local resources: analyzing 'democratic'decentralization of natural resources through the lenses of Africa inland fisheries","C Béné, E Belal, MO Baba, S Ovie, A Raji, I Malasha… - World Development, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0305750X09000941,https://www.researchgate.net/profile/Christophe_Bene/publication/46507339_Power_Struggle_Dispute_and_Alliance_Over_Local_Resources_Analyzing_%27Democratic%27_Decentralization_of_Natural_Resources_through_the_Lenses_of_Africa_Inland_Fisheries/links/5b32073ca6fdcc8506d037d8/Power-Struggle-Dispute-and-Alliance-Over-Local-Resources-Analyzing-Democratic-Decentralization-of-Natural-Resources-through-the-Lenses-of-Africa-Inland-Fisheries.pdf,,,1,145,No DOI available
The organizational structure of new social movements in a political context,"H Kriesi - Comparative perspectives on social movements, 1996 - books.google.com",1996,https://books.google.de/books?hl=de&lr=&id=8UamWMisjtkC&oi=fnd&pg=PA152&dq=context-specific+AND+decentralized+composition&ots=DvSA03grxh&sig=2an5zK37syLJC9oYGcXw1tTR0sU,No PDF available,,,1,610,No DOI available
Evaluation of the effects of decentralization on educational outcomes in Spain,"PS Peña - XIV Encuentro de Economía Pública: políticas …, 2007 - dialnet.unirioja.es",2007,https://dialnet.unirioja.es/descarga/articulo/3137309.pdf,https://dialnet.unirioja.es/descarga/articulo/3137309.pdf,,,1,9,No DOI available
Sustainable electricity transitions in Germany in a spatial context: between localism and centralism,"G Fuchs, N Hinderer - Urban, Planning and Transport Research, 2014 - rsa.tandfonline.com",2014,https://rsa.tandfonline.com/doi/abs/10.1080/21650020.2014.960096,https://rsa.tandfonline.com/doi/full/10.1080/21650020.2014.960096,,,1,7,No DOI available
Decentralizing industrial policies: threat or opportunity in developing countries?,"L Sepulveda, A Amin - International handbook on industrial …, 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=j1-uAryy-vwC&oi=fnd&pg=PA321&dq=context-specific+AND+decentralized+composition&ots=jCL_I-iKTj&sig=4JQbwCjD5U7k7ma1H7YBeIyt6Io,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.922.4679&rep=rep1&type=pdf#page=344,,,1,14,No DOI available
Ontology-based composition and matching for dynamic service coordination,"C Pahl, V Gacitua-Decar, MX Wang… - … Conference on Advanced …, 2011 - Springer",2011,https://link.springer.com/chapter/10.1007/978-3-642-22056-2_49,https://link.springer.com/content/pdf/10.1007/978-3-642-22056-2_49.pdf,,,1,4,No DOI available
The impact of context on evidence utilization: a framework for expert groups developing health policy recommendations,"MJ Dobrow, V Goel, L Lemieux-Charles… - Social science & …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S0277953606002309,No PDF available,,,1,175,No DOI available
"On teams, teamwork, and team performance: Discoveries and developments","E Salas, NJ Cooke, MA Rosen - Human factors, 2008 - journals.sagepub.com",2008,https://journals.sagepub.com/doi/abs/10.1518/001872008X288457,https://journals.sagepub.com/doi/pdf/10.1518/001872008X288457,,,1,870,No DOI available
"Autonomy and Performance: Decentralization Reforms in Zhejiang Province, China","X Wu, M Ramesh, J Yu - Public Administration and …, 2017 - Wiley Online Library",2017,https://onlinelibrary.wiley.com/doi/abs/10.1002/pad.1786,https://onlinelibrary.wiley.com/doi/pdf/10.1002/pad.1786,,,1,5,No DOI available
Municipal Decentralization and Participatory Democracy,"E Canel - European Review of Latin American and …, 2001 - pdfs.semanticscholar.org",2001,https://pdfs.semanticscholar.org/2efe/23d0463b742c7623b5aa14e5b038e77f79d4.pdf,https://pdfs.semanticscholar.org/2efe/23d0463b742c7623b5aa14e5b038e77f79d4.pdf,,,1,40,No DOI available
Hyper/J/spl trade: multi-dimensional separation of concerns for Java/spl trade,"P Tarr, H Ossher, SM Sutton - Proceedings of the 24th …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1008031/,https://ieeexplore.ieee.org/iel5/7889/21739/01008031.pdf,,,1,31,No DOI available
Work context and the definition of self: How organizational care influences organization-basei self-esteem,"DJ McAllister, GA Bigley - Academy of Management Journal, 2002 - journals.aom.org",2002,https://journals.aom.org/doi/abs/10.5465/3069320,https://www.jstor.org/stable/pdf/3069320.pdf,,,1,219,No DOI available
Ontology-based composition and matching for dynamic cloud service coordination,"C Pahl, V Gacitua-Decar, MX Wang… - International Journal of …, 2012 - doras.dcu.ie",2012,http://doras.dcu.ie/17107,http://doras.dcu.ie/17107/1/ijmso11.pdf,,,1,3,No DOI available
Cost comparison of centralized and decentralized wastewater management systems using optimization model,"YT Jung, NC Narayanan, YL Cheng - Journal of environmental …, 2018 - Elsevier",2018,https://www.sciencedirect.com/science/article/pii/S0301479718300975,No PDF available,,,1,7,No DOI available
Design patterns for agent-based service composition in the web,"I Muller, P Braun, R Kowalczyk - Fifth International Conference …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1579167/,https://ieeexplore.ieee.org/iel5/10545/33358/01579167.pdf,,,1,2,No DOI available
Gender and Equity in Health Sector Reform Rrogrammes: A Review,"H Standing - Health policy and planning, 1997 - academic.oup.com",1997,https://academic.oup.com/heapol/article-abstract/12/1/1/610536,https://academic.oup.com/heapol/article-pdf/12/1/1/6749050/12-1-1.pdf,,,1,206,No DOI available
Dimensions of Composition Model for Supporting Software System Evolution,"I Kim, D Bae - 2005 - cs.kaist.ac.kr",2005,https://www.cs.kaist.ac.kr/upload_files/report/1227157868.pdf,https://www.cs.kaist.ac.kr/upload_files/report/1227157868.pdf,,,1,3,No DOI available
Pattern-based coordination in process-based service compositions,G Monsieur - 2010 - core.ac.uk,2010,https://core.ac.uk/download/pdf/34484169.pdf,https://core.ac.uk/download/pdf/34484169.pdf,,,1,2,No DOI available
A formal context specific trust model (FTM) for multimedia and ubiquitous computing environment,"SI Ahamed, MM Haque, N Talukder - Telecommunication Systems, 2010 - Springer",2010,https://link.springer.com/article/10.1007/s11235-009-9261-y,https://link.springer.com/content/pdf/10.1007/s11235-009-9261-y.pdf,,,1,3,No DOI available
"Extension, poverty and vulnerability: the scope for policy reform. Final report of a study for the Neuchâtel Initiative","J Farrington, I Christoplos, A Kidd, M Beckman - 2002 - agris.fao.org",2002,http://agris.fao.org/agris-search/search.do?recordID=GB2013202827,No PDF available,,,1,30,No DOI available
Decentralized Governance and Climate Change Adaptation: Working Locally to Address Community Resilience Priorities,"E Martin, C Perine, V Lee, J Ratcliffe - Theory and Practice of Climate …, 2018 - Springer",2018,https://link.springer.com/chapter/10.1007/978-3-319-72874-2_1,No PDF available,,,1,2,No DOI available
