title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Service composition issues in pervasive computing,"J Bronsted, KM Hansen… - IEEE Pervasive …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5370805/,https://ieeexplore.ieee.org/iel5/7756/5370796/05370805.pdf,,,1,138,No DOI available
A roadmap towards sustainable self-aware service systems,"S Dustdar, C Dorn, F Li, L Baresi, G Cabri… - Proceedings of the …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1808986,https://dsg.tuwien.ac.at/staff/fei/papers/SEAMS-Chiristoph.pdf,,,1,31,No DOI available
Through personalized web service composition specification: from BPEL to C-BPEL,"C Ghedira, H Mezni - Electronic Notes in Theoretical Computer Science, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1571066106000181,https://www.sciencedirect.com/science/article/pii/S1571066106000181/pdf?md5=e321c5b023e9c5abb61f10ea2ffd651a&pid=1-s2.0-S1571066106000181-main.pdf&_valck=1,,,1,35,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - … workshop on Engineering of software services for …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
A multi-agent system for dynamic service composition in ambient intelligence environments,"M Vallée, F Ramparany, L Vercouter - 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.137.5734&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.137.5734&rep=rep1&type=pdf,,,1,56,No DOI available
Efficient execution of service composition for content adaptation in pervasive computing,"Y Fawaz, G Berhe, L Brunie, VM Scuturici… - International Journal of …, 2008 - hindawi.com",2008,https://www.hindawi.com/journals/ijdmb/2008/851628/abs/,http://downloads.hindawi.com/journals/ijdmb/2008/851628.pdf,,,1,20,No DOI available
A survey of service composition mechanisms in ubiquitous computing,"J Brønsted, KM Hansen… - … on Requirements and …, 2007 - pdfs.semanticscholar.org",2007,https://pdfs.semanticscholar.org/8b28/eabd169a13a2cccf3b92e406e4ed60b88c22.pdf,https://pdfs.semanticscholar.org/8b28/eabd169a13a2cccf3b92e406e4ed60b88c22.pdf,,,1,39,No DOI available
Towards autonomic and situation-aware communication services: the cascadas vision,"A Manzalini, F Zambonelli - IEEE Workshop on Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1633473/,https://ieeexplore.ieee.org/iel5/10880/34247/01633473.pdf,,,1,66,No DOI available
Dynamic service composition in ambient intelligence environments: a multi-agent approach,"M Vallée, F Ramparany… - … Workshop on Service …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,,,1,40,No DOI available
Pervasive service computing: Visions and challenges,"J Zhou, E Gilman, M Ylianttila… - 2010 10th IEEE …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5577856/,https://ieeexplore.ieee.org/iel5/5575291/5577816/05577856.pdf,,,1,19,No DOI available
Internet of intelligent things and robot as a service,"Y Chen, H Hu - Simulation Modelling Practice and Theory, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S1569190X12000469,No PDF available,,,1,77,No DOI available
Towards light-weight semantic descriptions for decentralized service-oriented systems,"H Pfeffer, D Linner, C Jacob, I Radusch… - International …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4338362/,https://ieeexplore.ieee.org/iel5/4338315/4338316/04338362.pdf,,,1,10,No DOI available
The role of ontologies in context-aware recommender systems,"L Buriano, M Marchetti, F Carmagnola… - … on Mobile Data …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1630616/,https://ieeexplore.ieee.org/iel5/10853/34194/01630616.pdf,,,1,61,No DOI available
