title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Executable Choreography Processes with Aspect-Sensitive Services,"T Cottenier, T Elrad - Computer Science Department, Illinois …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,,,1,8,No DOI available
Context-sensitive resource discovery,"G Chen, D Kotz - 2003 - apps.dtic.mil",2003,https://apps.dtic.mil/docs/citations/ADA445477,https://apps.dtic.mil/dtic/tr/fulltext/u2/a445477.pdf,,,1,87,No DOI available
Decentralised control of complex systems,"NR Jennings - Wirtschaftinformatik Proceedings 2007, 2007 - aisel.aisnet.org",2007,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1005&context=wi2007,http://www.academia.edu/download/31049996/34.pdf#page=47,,,1,5,No DOI available
"Aesthetic aspects of railway stations in Japan and Europe, as a part of “Context sensitive design for railways”","EM Kido - Journal of the Eastern Asia Society for Transportation …, 2005 - jstage.jst.go.jp",2005,https://www.jstage.jst.go.jp/article/easts/6/0/6_0_4381/_article/-char/ja/,https://www.jstage.jst.go.jp/article/easts/6/0/6_0_4381/_pdf,,,1,28,No DOI available
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,"M Wutzler - OTM Confederated International Conferences"" On the …, 2016 - Springer",2016,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,4,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
"The who, what, and why of site-based management","JL David - Educational Leadership, 1995 - sbruzzese.org",1995,http://sbruzzese.org/edem628/readings/1_site_based_management.pdf,http://sbruzzese.org/edem628/readings/1_site_based_management.pdf,,,1,191,No DOI available
Constructing cross-context scholarly conversations,"DA Whetten - The management of enterprises in the People's …, 2002 - Springer",2002,https://link.springer.com/chapter/10.1007/978-1-4615-1095-6_2,No PDF available,,,1,49,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
Context-sensitive trust computing in distributed environments,"Y Ding, F Liu, B Tang - Knowledge-Based Systems, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0950705111002723,http://or.nsfc.gov.cn/bitstream/00001903-5/112633/1/1000003873447.pdf,,,1,17,No DOI available
RoleDiSCo: A middleware architecture and implementation for coordinated on-demand composition of smart service systems in decentralized environments,"M Wutzler, T Springer, A Schill - 2017 IEEE 2nd International …, 2017 - ieeexplore.ieee.org",2017,https://ieeexplore.ieee.org/abstract/document/8064094/,https://ieeexplore.ieee.org/iel7/8063634/8064070/08064094.pdf,,,1,2,No DOI available
Context-aware authorization in highly dynamic environments,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - arXiv preprint arXiv …, 2011 - arxiv.org",2011,https://arxiv.org/abs/1102.5194,https://arxiv.org/pdf/1102.5194,,,1,25,No DOI available
Synthy: A system for end to end composition of web services,"V Agarwal, G Chafle, K Dasgupta, N Karnik… - Web Semantics: Science …, 2005 - Elsevier",2005,https://www.sciencedirect.com/science/article/pii/S1570826805000223,http://m.ww.w.websemanticsjournal.org/preprints/index.php/ps/article/viewFile/79/77,,,1,134,No DOI available
Ontology-based context-sensitive computing for FMS optimization,"M Kamal Uddin, J Puttonen, S Scholze… - Assembly …, 2012 - emeraldinsight.com",2012,https://www.emeraldinsight.com/doi/abs/10.1108/01445151211212316,https://www.researchgate.net/profile/Sebastian_Scholze/publication/252931080_Ontology-Dased_context-Sensitive_computing_for_FMS_optimization/links/56d60be608aebe4638ac6c15/Ontology-Dased-context-Sensitive-computing-for-FMS-optimization.pdf,,,1,16,No DOI available
A trusted decentralized access control framework for the client/server architecture,"W Han, M Xu, W Zhao, G Li - Journal of Network and Computer …, 2010 - Elsevier",2010,https://www.sciencedirect.com/science/article/pii/S1084804509001489,No PDF available,,,1,8,No DOI available
Context-sensitive authorization in interaction patterns,"V Hourdin, JY Tigli, S Lavirotte, G Rey… - Proceedings of the 6th …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1710055,https://hal.archives-ouvertes.fr/hal-00481752/file/hourdin-tigli-etal_2009a.pdf,,,1,7,No DOI available
Introducing decentralized pasture governance in Kyrgyzstan: Designing implementation rules,"W Crewett - Environmental Science & Policy, 2015 - Elsevier",2015,https://www.sciencedirect.com/science/article/pii/S1462901114002378,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:aSHL9KBX5C0J:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=7318101098804931002&oi=lle",,,1,14,No DOI available
Adaptive medical workflow management for a context-dependent home healthcare assistance service,"L Ardissono, A Di Leva, G Petrone, M Segnan… - Electronic Notes in …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1571066106000144,https://www.sciencedirect.com/science/article/pii/S1571066106000144/pdf?md5=d2ac5821577383a4987b4a48fe635f6f&pid=1-s2.0-S1571066106000144-main.pdf&_valck=1,,,1,61,No DOI available
Evaluating the degree of trust under context sensitive relational database hierarchy using hybrid intelligent approach,"M Sarkar, S Banerjee, AE Hassanien - International Journal of Rough …, 2015 - igi-global.com",2015,https://www.igi-global.com/article/evaluating-the-degree-of-trust-under-context-sensitive-relational-database-hierarchy-using-hybrid-intelligent-approach/122776,https://www.igi-global.com/viewtitle.aspx?titleid=122776,,,1,9,No DOI available
