title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Service composition issues in pervasive computing,"J Bronsted, KM Hansen… - IEEE Pervasive …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5370805/,https://ieeexplore.ieee.org/iel5/7756/5370796/05370805.pdf,,,1,138,No DOI available
Modeling privacy control in context-aware systems,"X Jiang, JA Landay - IEEE Pervasive computing, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1037723/,https://ieeexplore.ieee.org/iel5/7756/22254/01037723.pdf,,,1,210,No DOI available
A multi-agent system for dynamic service composition in ambient intelligence environments,"M Vallée, F Ramparany, L Vercouter - 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.137.5734&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.137.5734&rep=rep1&type=pdf,,,1,56,No DOI available
Dynamic service composition in ambient intelligence environments: a multi-agent approach,"M Vallée, F Ramparany… - Proceeding of the First …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,,,1,40,No DOI available
An adaptive agent coordination framework for Web services composition,"ZZ Sun, B Li, L Li - 2007 International Conference on Machine …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4370821/,https://ieeexplore.ieee.org/iel5/4370103/4370780/04370821.pdf,,,1,6,No DOI available
Through personalized web service composition specification: from BPEL to C-BPEL,"C Ghedira, H Mezni - Electronic Notes in Theoretical Computer Science, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1571066106000181,https://www.sciencedirect.com/science/article/pii/S1571066106000181/pdf?md5=e321c5b023e9c5abb61f10ea2ffd651a&pid=1-s2.0-S1571066106000181-main.pdf&_valck=1,,,1,35,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - International workshop on Engineering of software …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
A survey of service composition mechanisms in ubiquitous computing,"J Brønsted, KM Hansen… - … on Requirements and …, 2007 - pdfs.semanticscholar.org",2007,https://pdfs.semanticscholar.org/8b28/eabd169a13a2cccf3b92e406e4ed60b88c22.pdf,https://pdfs.semanticscholar.org/8b28/eabd169a13a2cccf3b92e406e4ed60b88c22.pdf,,,1,39,No DOI available
A decentralized self-organizing service composition for autonomic entities,"I Al-Oqily, A Karmouch - … on Autonomous and Adaptive Systems (TAAS), 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=1921648,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:eYGV3upSv0AJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=4943963958539395245&oi=lle",,,1,17,No DOI available
PSC-RM: Reference model for pervasive service composition,"J Zhou, J Sun, M Rautiainen… - … on Frontier of …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5392838/,https://ieeexplore.ieee.org/iel5/5392746/5392815/05392838.pdf,,,1,10,No DOI available
Towards light-weight semantic descriptions for decentralized service-oriented systems,"H Pfeffer, D Linner, C Jacob, I Radusch… - International …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4338362/,https://ieeexplore.ieee.org/iel5/4338315/4338316/04338362.pdf,,,1,10,No DOI available
The role of ontologies in context-aware recommender systems,"L Buriano, M Marchetti, F Carmagnola… - … on Mobile Data …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1630616/,https://ieeexplore.ieee.org/iel5/10853/34194/01630616.pdf,,,1,61,No DOI available
A roadmap towards sustainable self-aware service systems,"S Dustdar, C Dorn, F Li, L Baresi, G Cabri… - Proceedings of the …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1808986,https://dsg.tuwien.ac.at/staff/fei/papers/SEAMS-Chiristoph.pdf,,,1,31,No DOI available
A perspective on middleware-oriented context-aware pervasive systems,"Z Jaroucheh, X Liu, S Smith - 2009 33rd Annual IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5254117/,https://ieeexplore.ieee.org/iel5/5254044/5254045/05254117.pdf,,,1,14,No DOI available
Context-aware systems: A literature review and classification,"J Hong, E Suh, SJ Kim - Expert Systems with applications, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0957417408007574,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.164.3897&rep=rep1&type=pdf,,,1,633,No DOI available
Automated Web service composition: a decentralised multi-agent approach,"MEL Falou, M Bouzid, AI Mouaddib… - … of the 2009 IEEE/WIC/ACM …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1632361,https://ieeexplore.ieee.org/iel5/5284806/5284878/05286040.pdf,,,1,17,No DOI available
An infrastructure for dynamic composition of grid services,"Z Li, M Parashar - … 7th IEEE/ACM International Conference on …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/4100493/,https://www.researchgate.net/profile/Manish_Parashar/publication/221548152_An_Infrastructure_for_Dynamic_Composition_of_Grid_Services/links/0deec526657bab891c000000.pdf,,,1,18,No DOI available
CAR: Context-aware adaptive routing for delay-tolerant mobile networks,"M Musolesi, C Mascolo - IEEE Transactions on Mobile …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/4585387/,https://ieeexplore.ieee.org/iel5/7755/4358975/04585387.pdf,,,1,327,No DOI available
Efficient execution of service composition for content adaptation in pervasive computing,"Y Fawaz, G Berhe, L Brunie, VM Scuturici… - International Journal of …, 2008 - hindawi.com",2008,https://www.hindawi.com/journals/ijdmb/2008/851628/abs/,http://downloads.hindawi.com/journals/ijdmb/2008/851628.pdf,,,1,20,No DOI available
Rudder: A rule-based multi-agent infrastructure for supporting autonomic grid applications,"Z Li, M Parashar - International Conference on Autonomic …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1301378/,https://ieeexplore.ieee.org/iel5/9121/28917/01301378.pdf,,,1,37,No DOI available
