title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"A user-centric, resource-aware, context-sensitive, multi-device application framework for ubiquitous computing environments","M Roman, RH Campbell - University of Illinois at Urbana-Champaign …, 2002 - academia.edu",2002,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,,,1,36,No DOI available
A survey on context-aware systems,"M Baldauf, S Dustdar, F Rosenberg - … Journal of Ad Hoc and Ubiquitous …, 2007 - cs.umd.edu",2007,http://www.cs.umd.edu/class/spring2014/cmsc818g/files/surveyoncontextawaresystems.pdf,http://www.cs.umd.edu/class/spring2014/cmsc818g/files/surveyoncontextawaresystems.pdf,,,1,2358,No DOI available
Middleware for distributed context-aware systems,"K Henricksen, J Indulska, T McFadden… - … Conferences"" On the …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11575771_53,https://www.researchgate.net/profile/Sasitharan_Balasubramaniam/publication/220831096_Middleware_for_Distributed_Context-Aware_Systems/links/00b49532839f98cd72000000/Middleware-for-Distributed-Context-Aware-Systems.pdf,,,1,270,No DOI available
Reconfigurable context-sensitive middleware for pervasive computing,"SS Yau, F Karim, Y Wang, B Wang… - IEEE Pervasive …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1037720/,https://ieeexplore.ieee.org/iel5/7756/22254/01037720.pdf,,,1,536,No DOI available
AmbieSense–a system and reference architecture for personalised context-sensitive information services for mobile users,"H Myrhaug, N Whitehead, A Goker, TE Faegri… - … Symposium on Ambient …, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/978-3-540-30473-9_31,http://openaccess.city.ac.uk/608/2/AmbieSense_A_System_and_Reference_Architecture_for_Personalised_Context_Sensitive_Information_Services_for_Mobile_Users.pdf,,,1,28,No DOI available
A data model for context-aware deployment of component-based applications onto distributed systems,"D Ayed, C Taconet, G Bernard - … -oriented approaches to context-aware …, 2004 - scss.tcd.ie",2004,https://www.scss.tcd.ie/conferences/COA-CAC-04/submissions/ayed.pdf,https://www.scss.tcd.ie/conferences/COA-CAC-04/submissions/ayed.pdf,,,1,13,No DOI available
Towards context-sensitive service aspects,"T Rho, M Schmatz, AB Cremers - Work. on Object Technology for Ambient …, 2006 - Citeseer",2006,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,,,1,22,No DOI available
Context-aware multimedia computing in the intelligent hospital,"S Mitchell, MD Spiteri, J Bates… - Proceedings of the 9th …, 2000 - dl.acm.org",2000,https://dl.acm.org/citation.cfm?id=566730,http://www.cl.cam.ac.uk/research/dtg/lce-pub/public/files/SIGOPS-EW2000.pdf,,,1,91,No DOI available
Supporting context-aware mobile applications: an infrastructure approach,"MJ van Sinderen, AT van Halteren… - IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1705985/,https://ieeexplore.ieee.org/iel5/35/36012/01705985.pdf,,,1,129,No DOI available
Towards aspect-oriented programming for context-aware systems: A comparative study,"F Dantas, T Batista, N Cacho - … of the 1st International Workshop on …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1270345,https://ieeexplore.ieee.org/iel5/4273309/4273310/04273315.pdf,,,1,19,No DOI available
Ontology-based context-sensitive computing for FMS optimization,"M Kamal Uddin, J Puttonen, S Scholze… - Assembly …, 2012 - emeraldinsight.com",2012,https://www.emeraldinsight.com/doi/abs/10.1108/01445151211212316,https://www.researchgate.net/profile/Sebastian_Scholze/publication/252931080_Ontology-Dased_context-Sensitive_computing_for_FMS_optimization/links/56d60be608aebe4638ac6c15/Ontology-Dased-context-Sensitive-computing-for-FMS-optimization.pdf,,,1,16,No DOI available
CoCaMAAL: A cloud-oriented context-aware middleware in ambient assisted living,"A Forkan, I Khalil, Z Tari - Future Generation Computer Systems, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S0167739X13001544,https://www.researchgate.net/profile/Abdur_Forkan/publication/260395418_CoCaMAAL_A_cloud-oriented_context-aware_middleware_in_ambient_assisted_living/links/59e7d4090f7e9bc89b508bef/CoCaMAAL-A-cloud-oriented-context-aware-middleware-in-ambient-assisted-living.pdf,,,1,122,No DOI available
An infrastructure for context-awareness based on first order logic,"A Ranganathan, RH Campbell - Personal and Ubiquitous Computing, 2003 - dl.acm.org",2003,https://dl.acm.org/citation.cfm?id=958284,https://link.springer.com/content/pdf/10.1007/s00779-003-0251-x.pdf,,,1,423,No DOI available
A survey on context-aware web service systems,"HL Truong, S Dustdar - International Journal of Web …, 2009 - emeraldinsight.com",2009,https://www.emeraldinsight.com/doi/pdf/10.1108/17440080910947295,https://pdfs.semanticscholar.org/fe75/bbbb60e4d14d841a4640c6e9f22b096ae1c4.pdf,,,1,225,No DOI available
Towards a context management framework for MobiLife,"P Floréen, M Przybilski, P Nurmi, J Koolwaaij… - Proc. 14th IST Mobile & …, 2005 - koolwaaij.nl",2005,http://www.koolwaaij.nl/research/Pub/koolwaaij.2005.2.pdf,http://www.koolwaaij.nl/research/Pub/koolwaaij.2005.2.pdf,,,1,76,No DOI available
A hybrid recommender system for context-aware recommendations of mobile applications,"W Woerndl, C Schueller… - 2007 IEEE 23rd …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4401078/,https://ieeexplore.ieee.org/iel5/4400942/4400943/04401078.pdf,,,1,160,No DOI available
