title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
MoMe: a context-sensitive mobile application to research spa-tial perception and behaviour,"MH Miranda, S Hardy, M Knöll - … of Management (Ed.) …, 2015 - stadtspiele.tu-darmstadt.de",2015,http://www.stadtspiele.tu-darmstadt.de/media/stadtspiele/ws15___16/HalblaubMiranda-etal_HumanMobilityCognitionAndGISc_2015.pdf,http://www.stadtspiele.tu-darmstadt.de/media/stadtspiele/ws15___16/HalblaubMiranda-etal_HumanMobilityCognitionAndGISc_2015.pdf,,,1,5,No DOI available
Executable Choreography Processes with Aspect-Sensitive Services,"T Cottenier, T Elrad - Computer Science Department, Illinois …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,,,1,8,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
A systematic literature review of service choreography adaptation,"LAF Leite, GA Oliva, GM Nogueira, MA Gerosa… - … Oriented Computing and …, 2013 - Springer",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,https://link.springer.com/article/10.1007/s11761-012-0125-z,,,1,45,No DOI available
The choreographer's notebook: a video annotation system for dancers and choreographers,"V Singh, C Latulipe, E Carroll, D Lottridge - Proceedings of the 8th ACM …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2069653,https://www.researchgate.net/profile/Erin_Cherry/publication/221629551_The_choreographer%27s_notebook_a_video_annotation_system_for_dancers_and_choreographers/links/00b4951eb58acdef9c000000/The-choreographers-notebook-a-video-annotation-system-for-dancers-and-choreographers.pdf,,,1,50,No DOI available
Swarm grammars: growing dynamic structures in 3D agent spaces,"C Jacob, S Von Mammen - Digital Creativity, 2007 - Taylor & Francis",2007,https://www.tandfonline.com/doi/abs/10.1080/14626260701253622,https://www.researchgate.net/profile/Christian_Jacob4/publication/236578076_Swarm_grammars_Growing_dynamic_structures_in_3D_agent_spaces/links/00b49527b1846ca8a7000000.pdf,,,1,27,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Virtual crowds: Steps toward behavioral realism,"M Kapadia, N Pelechano, J Allbeck… - Synthesis lectures on …, 2015 - morganclaypool.com",2015,https://www.morganclaypool.com/doi/abs/10.2200/S00673ED1V01Y201509CGR020,No PDF available,,,1,39,No DOI available
A modelling framework for ambient assisted living validation,"JC Naranjo, C Fernandez, P Sala… - … on Universal Access in …, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-02710-9_26,No PDF available,,,1,26,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
Towards a theory of web service choreographies,"J Su, T Bultan, X Fu, X Zhao - International Workshop on Web Services and …, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-79230-7_1,https://people.hofstra.edu/Xiang_Fu/XiangFu/publications/wsfm07.pdf,,,1,82,No DOI available
System-of-systems support—A bigraph approach to interoperability and emergent behavior,"C Stary, D Wachholder - Data & Knowledge Engineering, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S0169023X15001081,https://www.researchgate.net/profile/Dominik_Wachholder/publication/287966801_System-of-systems_support_-_A_bigraph_approach_to_interoperability_and_emergent_behavior/links/577b71f408ae213761ca6c98/System-of-systems-support-A-bigraph-approach-to-interoperability-and-emergent-behavior.pdf,,,1,13,No DOI available
,"T Cottenier, T Elrad - Proceedings of the International Conference on …, 2005",2005,javascript:void(0),No PDF available,,,1,3,No DOI available
System-of-systems design thinking on behavior,"C Stary - Systems, 2017 - mdpi.com",2017,https://www.mdpi.com/2079-8954/5/1/3,https://www.mdpi.com/2079-8954/5/1/3/pdf,,,1,5,No DOI available
