title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"Distributed representations, simple recurrent networks, and grammatical structure","JL Elman - Machine learning, 1991 - Springer",1991,https://link.springer.com/article/10.1007/BF00114844,https://link.springer.com/content/pdf/10.1007/BF00114844.pdf,,,1,1470,No DOI available
Binding and normalization of binary sparse distributed representations by context-dependent thinning,"DA Rachkovskij, EM Kussul - Neural Computation, 2001 - MIT Press",2001,https://www.mitpressjournals.org/doi/abs/10.1162/089976601300014592,http://cogprints.org/1240/1/cdt-1sp.pdf,,,1,119,No DOI available
Finding structure in time,"JL Elman - Cognitive science, 1990 - Wiley Online Library",1990,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1207/s15516709cog1402_1,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1207/s15516709cog1402_1,,,1,10060,No DOI available
Automata for context-dependent connectors,"M Bonsangue, D Clarke, A Silva - International Conference on …, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-02053-7_10,https://repositorium.sdum.uminho.pt/bitstream/1822/37969/1/1738.pdf,,,1,47,No DOI available
Middleware for distributed context-aware systems,"K Henricksen, J Indulska, T McFadden… - … Conferences"" On the …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11575771_53,https://www.researchgate.net/profile/Sasitharan_Balasubramaniam/publication/220831096_Middleware_for_Distributed_Context-Aware_Systems/links/00b49532839f98cd72000000/Middleware-for-Distributed-Context-Aware-Systems.pdf,,,1,270,No DOI available
Deficits in auditory and visual context-dependent processing in schizophrenia: defining the pattern,"DC Javitt, AM Shelley, G Silipo… - Archives of general …, 2000 - jamanetwork.com",2000,https://jamanetwork.com/journals/jamapsychiatry/article-abstract/481682,https://jamanetwork.com/journals/archneurpsyc/fullarticle/481682,,,1,230,No DOI available
"The Disgust Scale: item analysis, factor structure, and suggestions for refinement.","BO Olatunji, NL Williams, DF Tolin… - Psychological …, 2007 - psycnet.apa.org",2007,https://psycnet.apa.org/record/2007-12847-003,http://www.psy.vanderbilt.edu/faculty/olatunoo/pdf/281.pdf,,,1,558,No DOI available
Supporting context-aware mobile applications: an infrastructure approach,"MJ van Sinderen, AT van Halteren… - IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1705985/,https://ieeexplore.ieee.org/iel5/35/36012/01705985.pdf,,,1,129,No DOI available
Event-related potential studies of associative recognition and recall: electrophysiological evidence for context dependent retrieval processes,"DI Donaldson, MD Rugg - Cognitive Brain Research, 1999 - Elsevier",1999,https://www.sciencedirect.com/science/article/pii/S0926641098000512,http://www.pil.psych.stir.ac.uk/OLD%20Site/documents/DonaldsonRuggCBR1999.pdf,,,1,118,No DOI available
From event structure to scale structure: Degree modification in deverbal adjectives,"C Kennedy, L McNally - Semantics and linguistic theory, 1999 - journals.linguisticsociety.org",1999,http://journals.linguisticsociety.org/proceedings/index.php/SALT/article/viewFile/2820/2560,http://journals.linguisticsociety.org/proceedings/index.php/SALT/article/viewFile/2820/2560,,,1,180,No DOI available
Towards modeling context-sensitive interactive applications: the context-sensitive user interface profile (CUP),"J Van den Bergh, K Coninx - Proceedings of the 2005 ACM symposium …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1056030,https://www.researchgate.net/profile/Jan_Van_den_Bergh/publication/200149636_Towards_Modeling_Context-Sensitive_Interactive_Applications_the_Context-Sensitive_User_Interface_Profile_CUP/links/00b49515d981682184000000.pdf,,,1,41,No DOI available
Portable electronic device with content-dependent touch sensitivity,"B Ording, S Forstall, G Christie, SO Lemay… - US Patent …, 2011 - Google Patents",2011,https://patents.google.com/patent/US7956846B2/en,No PDF available,,,1,79,No DOI available
Context sensitive storage management,"DC Fisk - US Patent 7,020,758, 2006 - Google Patents",2006,https://patents.google.com/patent/US7020758B2/en,https://patentimages.storage.googleapis.com/68/ed/58/71bf012f064f4d/US10247261.pdf,,,1,165,No DOI available
Vector-based models of semantic composition,"J Mitchell, M Lapata - proceedings of ACL-08: HLT, 2008 - aclweb.org",2008,https://www.aclweb.org/anthology/P08-1028,https://www.aclweb.org/anthology/P08-1028,,,1,578,No DOI available
Distributed processing and temporal codes in neuronal networks,"W Singer - Cognitive neurodynamics, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s11571-009-9087-z,https://link.springer.com/article/10.1007/s11571-009-9087-z,,,1,136,No DOI available
"A dynamic, context-aware security infrastructure for distributed healthcare applications","J Hu, AC Weaver - Proceedings of the first workshop on pervasive privacy …, 2004 - Citeseer",2004,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.471.602&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.471.602&rep=rep1&type=pdf,,,1,132,No DOI available
Outlier responses reflect sensitivity to statistical structure in the human brain,"MI Garrido, M Sahani, RJ Dolan - PLoS Computational Biology, 2013 - journals.plos.org",2013,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1002999,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1002999,,,1,59,No DOI available
The context-sensitive cognitive architecture DUAL,"B Kokinov - Proceedings of the Sixteenth Annual Conference of …, 1994 - 193.171.142.190",1994,http://193.171.142.190/rascalli/publications/dualambr_docs/dual_ctx.pdf,http://193.171.142.190/rascalli/publications/dualambr_docs/dual_ctx.pdf,,,1,91,No DOI available
Context-dependent group size choice in fish,"DJ Hoare, ID Couzin, JGJ Godin, J Krause - Animal Behaviour, 2004 - Elsevier",2004,https://www.sciencedirect.com/science/article/pii/S0003347203003580,http://www.princeton.edu/~icouzin/Animal%20behaviour.pdf,,,1,320,No DOI available
