title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Internet of intelligent things and robot as a service,"Y Chen, H Hu - Simulation Modelling Practice and Theory, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S1569190X12000469,No PDF available,,,1,77,No DOI available
Towards autonomic and situation-aware communication services: the cascadas vision,"A Manzalini, F Zambonelli - IEEE Workshop on Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1633473/,https://ieeexplore.ieee.org/iel5/10880/34247/01633473.pdf,,,1,66,No DOI available
Adaptable situation-aware secure service-based (AS/sup 3/) systems,"SS Yau, H Davulcu, S Mukhopadhyay… - … on Object-Oriented …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1420985/,https://ieeexplore.ieee.org/iel5/9726/30704/01420985.pdf,,,1,22,No DOI available
"On self-adaptation, self-expression, and self-awareness in autonomic service component ensembles","F Zambonelli, N Bicocchi, G Cabri… - 2011 Fifth IEEE …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6114583/,https://ieeexplore.ieee.org/iel5/6114263/6114568/06114583.pdf,,,1,78,No DOI available
A perspective on middleware-oriented context-aware pervasive systems,"Z Jaroucheh, X Liu, S Smith - 2009 33rd Annual IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5254117/,https://ieeexplore.ieee.org/iel5/5254044/5254045/05254117.pdf,,,1,14,No DOI available
The service ecosystem: Dynamic self-aggregation of pervasive communication services,"R Quitadamo, F Zambonelli… - … International Workshop on …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4273312/,https://ieeexplore.ieee.org/iel5/4273309/4273310/04273312.pdf,,,1,36,No DOI available
Autonomic communication services: a new challenge for software agents,"R Quitadamo, F Zambonelli - Autonomous Agents and Multi-Agent …, 2008 - Springer",2008,https://link.springer.com/article/10.1007/s10458-008-9054-9,https://link.springer.com/content/pdf/10.1007/s10458-008-9054-9.pdf,,,1,37,No DOI available
Towards light-weight semantic descriptions for decentralized service-oriented systems,"H Pfeffer, D Linner, C Jacob, I Radusch… - International …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4338362/,https://ieeexplore.ieee.org/iel5/4338315/4338316/04338362.pdf,,,1,10,No DOI available
Adaptable service composition for very-large-scale internet of things systems,"K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2093192,https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf,,,1,41,No DOI available
Mobile cloud computing service models: a user-centric approach,"D Huang, T Xing, H Wu - IEEE network, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6616109/,https://ieeexplore.ieee.org/iel7/65/6616104/06616109.pdf,,,1,89,No DOI available
Agent services for situation aware control of power systems with distributed generation,"A Saleem, K Heussen, M Lind - 2009 IEEE Power & Energy …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5260219/,https://ieeexplore.ieee.org/iel5/5230481/5260217/05260219.pdf,,,1,27,No DOI available
"Specification, decomposition and agent synthesis for situation-aware service-based systems","SS Yau, H Gong, D Huang, W Gao, L Zhu - Journal of Systems and …, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S0164121208000393,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.465.2268&rep=rep1&type=pdf,,,1,18,No DOI available
Developing pervasive multi-agent systems with nature-inspired coordination,"F Zambonelli, A Omicini, B Anzengruber… - Pervasive and Mobile …, 2015 - Elsevier",2015,https://www.sciencedirect.com/science/article/pii/S1574119214001904,https://research-repository.st-andrews.ac.uk/bitstream/handle/10023/7902/pmc_sapere_15.pdf?sequence=1&isAllowed=y,,,1,56,No DOI available
Development of Situation-Aware Applications in Services and Cloud Computing Environments.,"SS Yau, D Huang - Int. J. Software and Informatics, 2013 - ijsi.cnjournals.com",2013,http://ijsi.cnjournals.com/ch/reader/create_pdf.aspx?file_no=i147&year_id=2013&quarter_id=1&falg=1,http://ijsi.cnjournals.com/ch/reader/create_pdf.aspx?file_no=i147&year_id=2013&quarter_id=1&falg=1,,,1,13,No DOI available
Middleware for pervasive computing: A survey,"V Raychoudhury, J Cao, M Kumar, D Zhang - Pervasive and Mobile …, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S1574119212001113,https://www.cs.umd.edu/class/spring2014/cmsc818g/files/middlewaresurvey.pdf,,,1,106,No DOI available
Internet of things strategic research roadmap,"O Vermesan, P Friess, P Guillemin… - Internet of things …, 2011 - books.google.com",2011,https://books.google.de/books?hl=de&lr=&id=Eug-RvslW30C&oi=fnd&pg=PA9&dq=situation-aware+AND+decentralized+service+composition+AND+behaviour&ots=3Uw9vIfwAx&sig=J2OBypnP6hBwt3z84rc62ywpOOY,https://brage.bibsys.no/xmlui/bitstream/handle/11250/2430372/SINTEF%2BS13363.pdf?sequence=2,,,1,691,No DOI available
Supporting context-aware mobile service adaptation with scalable context discovery platform,"D Zhang, CY Chin, M Gurusamy - 2005 IEEE 61st Vehicular …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1543869/,https://ieeexplore.ieee.org/iel5/10360/32962/01543869.pdf,,,1,17,No DOI available
Situation-aware dynamic service coordination in an IoT environment,"B Cheng, M Wang, S Zhao, Z Zhai, D Zhu… - IEEE/ACM Transactions …, 2017 - dl.acm.org",2017,https://dl.acm.org/citation.cfm?id=3148824,https://ieeexplore.ieee.org/iel7/90/4359146/07999224.pdf,,,1,16,No DOI available
Context-aware business application service co-ordination in mobile computing environments,"H Helin, M Klusch, A Lopes, A Fernández… - AAMAS05 workshop on …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.9581&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.9581&rep=rep1&type=pdf,,,1,18,No DOI available
Collective awareness for human-ict collaboration in smart cities,"N Bicocchi, A Cecaj, D Fontana… - 2013 Workshops on …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6570574/,https://ieeexplore.ieee.org/iel7/6569034/6570561/06570574.pdf,,,1,24,No DOI available
Autonomic clouds of components for self-managed service ecosystems.,"A Manzalini, R Minerva… - Journal of …, 2010 - search.ebscohost.com",2010,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=17541662&asa=Y&AN=53175474&h=9HM1bff5wGpdDpbiwCfRtSbbeKu0Bwv8V0LtkB0KraSoDZLwr9pvk6ETE0YzgnGf3LhyJO3br%2FSwAYOyHS5G9g%3D%3D&crl=c,No PDF available,,,1,7,No DOI available
Behavior-based access control for distributed healthcare environment,"MH Yarmand, K Sartipi… - 2008 21st IEEE …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4561969/,https://ieeexplore.ieee.org/iel5/4561933/4561934/04561969.pdf,,,1,16,No DOI available
An Agent-based Approach for Adapting the Behavior of a Smart Home Environment.,"D Cavone, B De Carolis, S Ferilli, N Novielli - WOA, 2011 - ceur-ws.org",2011,http://ceur-ws.org/Vol-741/ID14_CavoneDeCarolisFerilliNovelli.pdf,http://ceur-ws.org/Vol-741/ID14_CavoneDeCarolisFerilliNovelli.pdf,,,1,19,No DOI available
Self-organized data ecologies for pervasive situation-aware services: The knowledge networks approach,"N Bicocchi, M Baumgarten, N Brgulja… - … on Systems, Man …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5477187/,https://ieeexplore.ieee.org/iel5/3468/5484919/05477187.pdf,,,1,16,No DOI available
Aggregation dynamics in overlay networks and their implications for self-organized distributed applications,"F Saffre, R Tateson, J Halloy, M Shackleton… - The Computer …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/8129899/,https://academic.oup.com/comjnl/article-pdf/52/4/397/1692799/bxn017.pdf,,,1,56,No DOI available
Awarecon: Situation aware context communication,"M Beigl, A Krohn, T Zimmer, C Decker… - … on Ubiquitous Computing, 2003 - Springer",2003,https://link.springer.com/chapter/10.1007/978-3-540-39653-6_10,https://cgi.csc.liv.ac.uk/~coopes/comp319/2016/papers/UbiquitousComputingAwareCon-Beigl2003.pdf,,,1,76,No DOI available
Looking ahead in pervasive computing: Challenges and opportunities in the era of cyber–physical convergence,"M Conti, SK Das, C Bisdikian, M Kumar, LM Ni… - Pervasive and Mobile …, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S1574119211001271,https://core.ac.uk/download/pdf/37831752.pdf,,,1,251,No DOI available
Towards an agent model for future autonomic communications,"F De Mola, R Quitadamo - Proceedings of the 7th WOA 2006 Workshop …, 2006 - Citeseer",2006,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.62.7340&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.62.7340&rep=rep1&type=pdf,,,1,12,No DOI available
Engineering pervasive service ecosystems: the sapere approach,"G Castelli, M Mamei, A Rosi, F Zambonelli - ACM Transactions on …, 2015 - dl.acm.org",2015,https://dl.acm.org/citation.cfm?id=2700321,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:xS2TMgqXHvsJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=2135290743520943186&oi=lle",,,1,23,No DOI available
A user profile ontology for situation-aware social networking,"J Stan, E Egyed-Zsigmond… - 3rd Workshop on …, 2008 - hal-ujm.archives-ouvertes.fr",2008,https://hal-ujm.archives-ouvertes.fr/ujm-00378723/,https://hal-ujm.archives-ouvertes.fr/ujm-00378723/file/Stan_Aitami2008.pdf,,,1,36,No DOI available
Knowledge networks,"M Mulvenna, F Zambonelli, K Curran… - Workshop on Autonomic …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11687818_8,https://link.springer.com/content/pdf/10.1007/11687818_8.pdf,,,1,17,No DOI available
Functionality-based service matchmaking for service-oriented architecture,"SS Yau, J Liu - … Symposium on Autonomous Decentralized …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4144665/,https://ieeexplore.ieee.org/iel5/4144637/4144638/04144665.pdf,,,1,16,No DOI available
Situation-aware wireless networks,"S Sharma, AR Nix, S Olafsson - IEEE Communications …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1215638/,https://ieeexplore.ieee.org/iel5/35/27341/01215638.pdf,,,1,20,No DOI available
Situation-aware multi-agent system for disaster relief operations management,"G Jakobson, N Parameswaran, J Buford, L Lewis… - Proc …, 2006 - researchgate.net",2006,https://www.researchgate.net/profile/N_Parameswaran/publication/228529393_Situation-Aware_Multi-Agent_System_for_Disaster_Relief_Operations_Management/links/00b495198ff89dd220000000.pdf,https://www.researchgate.net/profile/N_Parameswaran/publication/228529393_Situation-Aware_Multi-Agent_System_for_Disaster_Relief_Operations_Management/links/00b495198ff89dd220000000.pdf,,,1,18,No DOI available
A systematic literature review on service description methods,"AY Teka, N Condori-Fernandez, B Sapkota - … Working Conference on …, 2012 - Springer",2012,https://link.springer.com/chapter/10.1007/978-3-642-28714-5_22,https://core.ac.uk/download/pdf/11483057.pdf,,,1,14,No DOI available
Towards resource-aware network of networks,"A Manzalini, R Minerva, C Moiso - IEEE 5th International …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5483787/,https://ieeexplore.ieee.org/iel5/5479087/5483696/05483787.pdf,,,1,6,No DOI available
A survey of autonomic computing methods in digital service ecosystems,"DB Abeywickrama, E Ovaska - Service Oriented Computing and …, 2017 - Springer",2017,https://link.springer.com/article/10.1007/s11761-016-0203-8,https://link.springer.com/article/10.1007/s11761-016-0203-8,,,1,12,No DOI available
Knowledge Networks: the nervous system of an autonomic communication infrastructure,"M Mulvenna, F Zambonelli, K Curran… - proc of WAC, 2005 - agentgroup.unimore.it",2005,http://www.agentgroup.unimore.it/Zambonelli/PDF/WAC2005.pdf,http://www.agentgroup.unimore.it/Zambonelli/PDF/WAC2005.pdf,,,1,13,No DOI available
Demonstrating communication services based on autonomic self-organization,"A Bernadas, R Alfano, A Manzalini… - 2008 International …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4606669/,https://ieeexplore.ieee.org/iel5/4606617/4606618/04606669.pdf,,,1,8,No DOI available
D-AESOP: a situation-aware BDI agent system for disaster situation management,"J Buford, G Jakobson, L Lewis… - First International …, 2006 - pdfs.semanticscholar.org",2006,https://pdfs.semanticscholar.org/8e15/733ac25e2aadf238a76bc7f6c71f1e2b9f1a.pdf#page=147,https://pdfs.semanticscholar.org/8e15/733ac25e2aadf238a76bc7f6c71f1e2b9f1a.pdf#page=147,,,1,11,No DOI available
Ubiquitous computing in prospect: A bibliographic study,"TT Chen, M Lee - 2008 International Symposium on Ubiquitous …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4656517/,https://ieeexplore.ieee.org/iel5/4656495/4656496/04656517.pdf,,,1,11,No DOI available
Decentralized approach considering spatial attributes for equipment utilization in civil engineering disaster response,"AY Chen, F Pena-Mora - Journal of Computing in Civil Engineering, 2010 - ascelibrary.org",2010,https://ascelibrary.org/doi/abs/10.1061/(ASCE)CP.1943-5487.0000100,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:TfrLYgIr3I4J:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=14663758124694104970&oi=lle",,,1,12,No DOI available
Service-oriented architecture for command and control systems with dynamic reconfiguration,"RA Paul, WT Tsai - 2004 - apps.dtic.mil",2004,https://apps.dtic.mil/docs/citations/ADA465985,https://apps.dtic.mil/dtic/tr/fulltext/u2/a465985.pdf,,,1,15,No DOI available
Towards self-organizing knowledge networks for smart world infrastructures,"M Baumgarten, N Bicocchi, KJ Curran… - … on Systems Science …, 2006 - uir.ulster.ac.uk",2006,http://uir.ulster.ac.uk/11618/,http://uir.ulster.ac.uk/11618/1/Towards_Self-Organizing_Knowledge_Networks_for_Smart_World_Infrastructures.pdf,,,1,22,No DOI available
Autonomous community construction technology to achieve service assurance in ADCS,"K Mahmood, X Lu, K Mori - IEICE TRANSACTIONS on Information …, 2008 - search.ieice.org",2008,https://search.ieice.org/bin/summary.php?id=e91-d_9_2259,https://www.jstage.jst.go.jp/article/transinf/E91.D/9/E91.D_9_2259/_pdf,,,1,6,No DOI available
Internetware: An emerging software paradigm for Internet computing,"H Mei, XZ Liu - Journal of computer science and technology, 2011 - Springer",2011,https://link.springer.com/article/10.1007/s11390-011-1159-y,https://link.springer.com/content/pdf/10.1007/s11390-011-1159-y.pdf,,,1,40,No DOI available
Design of service–based systems with adaptive tradeoff between security and service delay,"SS Yau, M Yan, D Huang - International Conference on Autonomic and …, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-73547-2_13,http://dpse.eas.asu.edu/as3/papers/DSB.pdf,,,1,10,No DOI available
