title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Business collaboration models and their business context-dependent web choreography in BPSS,"B Hofreiter, C Huemer… - International Journal of …, 2005 - emeraldinsight.com",2005,https://www.emeraldinsight.com/doi/pdf/10.1108/17440080580000081,https://pdfs.semanticscholar.org/0055/890dbae698416e291e32ff793ef852a2aa19.pdf,,,1,11,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
From a UMM business process model to a business environment specific ebXML process,"B Hofreiter, C Huemer - Journal of E-Commerce Research …, 2006 - eprints.cs.univie.ac.at",2006,http://eprints.cs.univie.ac.at/587/1/final.pdf,http://eprints.cs.univie.ac.at/587/1/final.pdf,,,1,7,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
From multi-context business collaboration models to context-specific ebXML BPSS,"B Hofreiter, C Huemer - … on e-Technology, e-Commerce and e …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1402271/,http://eprints.cs.univie.ac.at/770/1/final.pdf,,,1,1,No DOI available
Separating per-client and pan-client views in service specification,"C Atkinson, D Stoll, H Acker, P Dadam… - Proceedings of the …, 2006 - dl.acm.org",2006,https://dl.acm.org/citation.cfm?id=1138497,http://dbis.eprints.uni-ulm.de/102/1/Atki06.pdf,,,1,13,No DOI available
Adaptive compositions across organizational boundaries,"T Cottenier, T Elrad - Companion to the 20th annual ACM SIGPLAN …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1094950,No PDF available,,,1,1,No DOI available
ing from a one-size-fits-all paradigm to tailoring the decisions to the context of the specific situation,"W Wilson - Becoming a Project Leader: Blending Planning, Agility …, 2017 - books.google.com",2017,https://books.google.de/books?hl=de&lr=&id=n9FBDwAAQBAJ&oi=fnd&pg=PA131&dq=context-specific+AND+choreography+AND+sensitiv&ots=Ygj0f_aME3&sig=BFj9rsMgmxMI0o4YfczQGK1NRkU,No PDF available,,,1,No cite count available,No DOI available
Tailoring Project Decisions to Project Context,W Wilson - BECOMING A PROJECT LEADER - Springer,No year available,https://link.springer.com/content/pdf/10.1007/978-3-319-66724-9.pdf#page=153,No PDF available,,,1,No cite count available,No DOI available
A Multi-criteria Evaluation Approach for Selecting a Sensitive Business Process Modeling Language for Knowledge Management,"MB Hassen, M Turki, F Gargouri - Journal on Data Semantics, 2019 - Springer",2019,https://link.springer.com/article/10.1007/s13740-019-00103-5,https://link.springer.com/article/10.1007/s13740-019-00103-5,,,1,No cite count available,No DOI available
Highly available location-based services in mobile environments,"P Ibach, M Horbank - International Service Availability Symposium, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/978-3-540-30225-4_10,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.455.5948&rep=rep1&type=pdf,,,1,43,No DOI available
Bodies in critique: a technological intervention in the dance production process,"EA Carroll, D Lottridge, C Latulipe, V Singh… - Proceedings of the ACM …, 2012 - dl.acm.org",2012,https://dl.acm.org/citation.cfm?id=2145311,https://www.researchgate.net/profile/Erin_Cherry/publication/220879196_Bodies_in_critique_A_technological_intervention_in_the_dance_production_process/links/00b7d51eb57cd1dfd8000000/Bodies-in-critique-A-technological-intervention-in-the-dance-production-process.pdf,,,1,12,No DOI available
"Affect as method: Feelings, aesthetics and affective pedagogy","A Hickey-Moody - Deleuze and research methodologies, 2013 - books.google.com",2013,https://books.google.de/books?hl=de&lr=&id=7SCrBgAAQBAJ&oi=fnd&pg=PA79&dq=context-specific+AND+choreography+AND+sensitiv&ots=-YWNWRuIra&sig=4I4eSO8A0I_I5F8pJ4Pgf9nNW1Q,http://azumisan.asuscomm.com/PhD%20Research%20Guide/Deleuze%20and%20Research%20Methodologies.pdf#page=88,,,1,112,No DOI available
Mapping MI to the DMGT: A theoretical framework,"R Walton - Australasian Journal of Gifted Education, 2014 - search.informit.com.au",2014,https://search.informit.com.au/documentSummarydn=122925841806076res=ielhss,http://ro.uow.edu.au/cgi/viewcontent.cgi?article=4047&context=sspapers,,,1,4,No DOI available
Inclusion Strategies for Bringing Dance to Conservative Communities,"SR Lent - Journal of Dance Education, 2016 - Taylor & Francis",2016,https://www.tandfonline.com/doi/full/10.1080/15290824.2016.1186277,No PDF available,,,1,No cite count available,No DOI available
